Adjetivo,Frequência,Categoria
vilão,2,
celular,2,
lindão,2,
altares,2,
cachaceiro,2,
trenzinho,2,
retrovisor,2,
caminhoneiro,2,
competentes,2,
inalcansável,2,
chifre,2,
flerte,2,
quarentão,2,
roqueiro,2,
picasso,2,
garboso,2,
carona,2,
rosto,2,
brega,2,
buteco,2,
merecedor,2,
bicha,2,
vicente,2,
juízes,2,
gildo,2,
gelada,2,
admirado,2,
interiorano,2,
dura,2,
pinga,2,
vizinha,2,
pequenininho,2,
sen,2,
parada,2,
brigo,2,
gongá,2,
passaro,2,
sacana,2,
falsos,2,
cantabas,2,
casquinha,2,
conveniente,2,
pé,2,
carregado,2,
veloz,2,
degraus,2,
tox,2,
planta,2,
lato,2,
anel,2,
besta,2,
brilho,2,
reflexão,2,
legais,2,
juro,2,
benzinho,2,
tropas,2,
truxe,2,
desnorteado,2,
fardas,2,
metade,2,
braço,2,
caldo,2,
poderosos,2,
trapaceiro,2,
tango,2,
meio-sorriso,2,
bailamos,2,
chocado,2,
parte,2,
famílias,2,
autor,2,
ingrata,2,
semente,2,
traído,2,
errante,2,
s,2,
momentos,2,
lembrá,2,
judeu,2,
cabeça,2,
acompanhado,2,
charrete,2,
sereno,2,
uirapurú,2,
difíceis,2,
silêncio,2,
manga,2,
azunha,2,
rouxinol,2,
surdos,2,
canção,2,
loteria,2,
cupido,2,
coroado,2,
granfino,2,
bunda,2,
estourado,2,
indescritível,2,
folgazão,2,
fais,2,
furioso,2,
horário,2,
radical,2,
defeito,2,
fria,2,
casarão,2,
pertinho,2,
orientupis,2,
fandango,2,
médico,2,
feia,2,
coletivo,2,
morais,2,
guerra,2,
ateus,2,
cobertor,2,
ohmm,2,
mensagens,2,
aiê,2,
faraó,2,
culpa,2,
guapo,2,
bon,2,
loiro,2,
tropeiro,2,
grandinho,2,
conversa,2,
flay,2,
órfão,2,
belsen,2,
trenzim,1,
ganhá,1,
bombom,1,
marcado,1,
quisé,1,
undergroud,1,
famía,1,
tito,1,
perito,1,
destruição,1,
sorteiro,1,
cedinho,1,
falido,1,
respeitável,1,
farto,1,
fungava,1,
posers,1,
faro,1,
gaúcha,1,
picanha,1,
inseto,1,
patriota,1,
miséria,1,
mitológico,1,
gizmo,1,
excomungado,1,
stop,1,
batismo,1,
hahhaha,1,
proprio,1,
urgente,1,
sonolento,1,
blacks,1,
compromisso,1,
maltratado,1,
comandante,1,
muddy,1,
malandros,1,
baile,1,
porcos,1,
medíocre,1,
assassinos,1,
sarvô,1,
pirata,1,
barracos,1,
encontrado,1,
atemporal,1,
velhinha,1,
rolô,1,
desconfiado,1,
júnior,1,
esprementar,1,
sinval,1,
pensô,1,
adestrado,1,
trinca,1,
espanto,1,
peri,1,
noiado,1,
edredon,1,
pantaneiro,1,
difunto,1,
envolvido,1,
esterco,1,
trap,1,
surpreendido,1,
clyde,1,
pique,1,
especiais,1,
brazuca,1,
insuportável,1,
estádio,1,
malaquias,1,
mermão,1,
guentar,1,
réus,1,
grego,1,
internava,1,
confúcio,1,
chute,1,
mordido,1,
alecrim,1,
encantadora,1,
ki,1,
véi,1,
cisma,1,
mercenário,1,
churrasco,1,
expert,1,
estardalhaço,1,
submisso,1,
incerto,1,
estrangulado,1,
dieguin,1,
skunky,1,
sobrevivo,1,
escroto,1,
principiantes,1,
mandá,1,
crumble,1,
cigarro,1,
rolê,1,
léozin,1,
asfalto,1,
gavea,1,
tranqüila,1,
sáboca,1,
reciclado,1,
strondar,1,
estático,1,
bodyboarder,1,
vespertino,1,
explana,1,
maomé,1,
arresorvido,1,
garro,1,
ânimo,1,
inofencivo,1,
inúmeros,1,
enterros,1,
soluça,1,
falencia,1,
sarve,1,
samurai,1,
multipla,1,
escolha,1,
fantastico,1,
guasca,1,
simbora,1,
cuidá,1,
nerd,1,
orelha,1,
trigoloide,1,
porca,1,
patente,1,
passarinhos,1,
escariotes,1,
combatente,1,
convocado,1,
necessário,1,
servil,1,
egbá,1,
ninharia,1,
calculista,1,
viajante,1,
espantalho,1,
máximo,1,
shomon,1,
povinhu,1,
votos,1,
ex-ladrão,1,
pjl,1,
obá,1,
buda,1,
imbecis,1,
oco,1,
